Leeftijd,Marges,Perioden,WijkenEnBuurten,Gemeentenaam,SoortRegio,Regioaanduiding/Codering (),ErvarenGezondheidGoed,Ondergewicht,NormaalGewicht,Overgewicht,ErnstigOvergewicht,VoldoetAanAlcoholRichtlijn,Drinker,ZwareDrinker,OvermatigeDrinker
18 jaar of ouder,Waarde,2020,Nederland,Nederland,Land ,NL01 ,78.4,2.0,47.4,50.8,15.6,43.9,78.5,8.4,6.3
18 jaar of ouder,Waarde,2020,Aa en Hunze,Aa en Hunze,Gemeente,GM1680,80.5,1.7,45.0,53.9,15.8,42.9,80.1,7.2,6.6
18 jaar of ouder,Waarde,2020,Wijk 00 Annen,Aa en Hunze,Wijk ,WK168000,81.4,1.6,46.7,53.0,15.2,40.1,80.9,7.0,5.9
18 jaar of ouder,Waarde,2020,Annen,Aa en Hunze,Buurt,BU16800000,81.3,1.6,46.4,53.2,15.3,40.0,80.7,7.0,5.8
18 jaar of ouder,Waarde,2020,Verspreide huizen Annen,Aa en Hunze,Buurt,BU16800009,84.4,1.6,51.9,49.1,12.4,42.2,85.0,7.2,7.4
18 jaar of ouder,Waarde,2020,Wijk 01 Eext,Aa en Hunze,Wijk ,WK168001,81.8,1.8,45.3,54.1,15.2,39.7,81.5,8.1,7.4
18 jaar of ouder,Waarde,2020,Eext,Aa en Hunze,Buurt,BU16800100,81.8,1.8,44.9,54.4,15.4,39.3,81.4,8.3,7.2
18 jaar of ouder,Waarde,2020,Verspreide huizen Eext,Aa en Hunze,Buurt,BU16800109,82.1,1.7,47.4,52.7,14.3,42.4,82.2,7.2,8.3
18 jaar of ouder,Waarde,2020,Wijk 02 Anloo,Aa en Hunze,Wijk ,WK168002,82.3,1.6,47.3,50.5,14.5,40.1,81.6,6.7,7.0
18 jaar of ouder,Waarde,2020,Anloo,Aa en Hunze,Buurt,BU16800200,81.9,1.5,46.6,51.4,14.8,40.8,81.0,6.5,6.9
18 jaar of ouder,Waarde,2020,Verspreide huizen Anloo,Aa en Hunze,Buurt,BU16800209,84.4,2.0,50.9,46.4,12.9,36.5,84.4,8.0,7.4
18 jaar of ouder,Waarde,2020,Wijk 03 Gasteren,Aa en Hunze,Wijk ,WK168003,82.8,1.5,51.1,49.5,12.8,38.7,83.5,7.9,8.6
18 jaar of ouder,Waarde,2020,Gasteren,Aa en Hunze,Buurt,BU16800300,82.6,1.5,51.4,49.1,12.9,38.8,83.4,8.0,8.7
18 jaar of ouder,Waarde,2020,Verspreide huizen Gasteren,Aa en Hunze,Buurt,BU16800309,88.5,1.7,38.8,62.7,10.0,32.5,84.7,5.3,5.3
18 jaar of ouder,Waarde,2020,Wijk 04 Anderen,Aa en Hunze,Wijk ,WK168004,84.1,1.8,49.7,50.5,13.0,38.5,82.7,7.4,7.6
18 jaar of ouder,Waarde,2020,Anderen,Aa en Hunze,Buurt,BU16800400,83.7,1.8,49.8,50.3,13.1,38.6,82.5,7.4,7.6
18 jaar of ouder,Waarde,2020,Verspreide huizen Anderen,Aa en Hunze,Buurt,BU16800409,87.4,1.3,48.9,52.0,12.3,37.4,85.2,7.5,7.8
18 jaar of ouder,Waarde,2020,Wijk 05 Schipborg,Aa en Hunze,Wijk ,WK168005,82.4,1.5,51.5,47.7,12.1,42.9,81.2,6.1,7.3
18 jaar of ouder,Waarde,2020,Schipborg,Aa en Hunze,Buurt,BU16800500,82.4,1.4,51.5,47.7,12.2,42.8,81.2,6.1,7.3
18 jaar of ouder,Waarde,2020,Verspreide huizen Schipborg,Aa en Hunze,Buurt,BU16800509,81.8,1.8,51.8,46.8,11.3,44.3,81.3,5.5,6.8
18 jaar of ouder,Waarde,2020,Wijk 06 Eexterveen,Aa en Hunze,Wijk ,WK168006,84.3,1.5,46.0,54.3,14.3,39.7,82.9,8.3,7.2
18 jaar of ouder,Waarde,2020,Eexterveen,Aa en Hunze,Buurt,BU16800600,84.4,1.6,46.3,54.1,14.2,39.7,82.9,8.3,7.1
