Regio’s,Ondergewicht (%),Normaal gewicht (%),Overgewicht (%),Matig overgewicht (%),Ernstig overgewicht (obesitas) (%),Alcoholgebruik/Voldoet aan richtlijn alcoholgebruik (%),Alcoholgebruik/Zware drinker (%),Alcoholgebruik/Overmatig drinker (%)
Aa en Hunze,0.7,50.1,49.2,34.3,14.9,40.6,7.1,5.4
Aalsmeer,1.2,50.3,48.5,36.4,12.1,40.4,6.9,5
Aalten,1.4,49.2,49.4,33.8,15.6,41.3,11.7,6.6
Achtkarspelen,0.8,42.6,56.6,40,16.6,40.4,11.1,7.9
Alblasserdam,2,41.7,56.3,38.8,17.5,55.8,5.9,5.2
Albrandswaard,1.8,43.9,54.3,40,14.4,44.9,5.7,3.5
Alkmaar,2.3,50.2,47.4,33.2,14.3,40.5,9.3,6.8
Almelo,1.7,42.1,56.3,37.8,18.5,46,8.3,6.8
Almere,2.2,43.3,54.5,39.6,14.8,54.3,5.5,4
Alphen aan den Rijn,1.3,48.3,50.4,36.5,13.9,44.4,6.9,6.3
Alphen-Chaam,1.6,50.4,48.1,37.1,11,35.7,10.6,8.9
Altena,2.4,42.7,54.8,39,15.8,50.4,6.7,4.9
Ameland,2.8,43.6,53.6,42.9,10.7,36.3,8.8,6.9
Amersfoort,1.9,54.3,43.8,31.8,12,42.7,5.8,4.2
Amstelveen,2.7,55.1,42.2,31,11.2,46.2,6.3,5.3
Amsterdam,2.7,58.1,39.3,28.1,11.2,40.5,11.2,7.1
Apeldoorn,2,47.1,51,34.2,16.7,47.1,7.6,5.5
Arnhem,1.1,54.3,44.6,30.9,13.7,43.4,9.4,7.4
Assen,0.5,46.8,52.7,37.1,15.6,49.1,5,4.3
Asten,3.2,52.8,43.9,31.7,12.2,36.3,9.9,9.1
Baarle-Nassau,0.8,46.2,53.1,34.2,18.8,41.3,10.5,6.6
Baarn,3.2,52.9,43.9,32,11.8,43.4,6.4,6
Barendrecht,1.3,47.6,51,35.6,15.4,49.6,4.7,4
Barneveld,2.7,47.9,49.4,35.5,14,47.2,7.5,5.9
Beek (L.),1.5,43.8,54.7,39.3,15.4,44.8,5.8,5
Beekdaelen,1.4,43,55.6,37.9,17.7,43.8,7.1,5.2
Beemster,1.7,53.8,44.5,34.8,9.7,37.9,5.9,4.8
Beesel,2.4,44.6,53,34.7,18.3,46.5,7.9,4.8
Berg en Dal,1.2,46.6,52.2,35.9,16.4,38.8,8.4,5.8
Bergeijk,2.7,44,53.2,37.6,15.6,36.2,10.2,6.7
Bergen (L.),1.7,43.6,54.7,36.8,17.8,40,10.3,6.7
Bergen (NH.),1.8,55.8,42.4,33.4,9,36.6,10.4,8.3
Bergen op Zoom,1.2,44,54.8,37.2,17.6,44.4,7,5.5
Berkelland,1.2,44.7,54.1,38,16.1,35.8,11.9,9.9
Bernheze,2,50,48,36,12,37.6,11.9,6.7
Best,1,46.6,52.4,36.6,15.8,38.9,8.8,5.8
Beuningen,1.5,45.4,53.1,38.2,14.8,36.7,7.5,6.2
Beverwijk,2.3,43.9,53.8,37.1,16.7,42.3,6.8,6.7
De Bilt,1.8,56.3,41.9,31.6,10.3,43.1,6,6.8
Bladel,1.9,47.2,50.9,36.6,14.4,34.8,12.2,7.7
Blaricum,3.1,57.2,39.7,29.1,10.5,39.2,9,8.3
Bloemendaal,2.3,61.8,35.9,29.2,6.7,31.2,6.6,8.7
Bodegraven-Reeuwijk,1.3,49.4,49.4,35.6,13.7,43.5,6.2,5.4
