,Regio’s,Ondergewicht (%),Normaal gewicht (%),Overgewicht (%),Matig overgewicht (%),Ernstig overgewicht (obesitas) (%),Alcoholgebruik/Voldoet aan richtlijn alcoholgebruik (%),Alcoholgebruik/Zware drinker (%),Alcoholgebruik/Overmatig drinker (%),n_bars,populatie,bar_pop,pop_dichtheid,bar_dhd
0,Aa en Hunze,0.7,50.1,49.2,34.3,14.9,40.6,7.1,5.4,13,25399,4.2620632397009514e-08,92.6,0.0004642061360909558
1,Aalsmeer,1.2,50.3,48.5,36.4,12.1,40.4,6.9,5.0,13,31991,3.3838312095640795e-08,1612.6,2.649315416896274e-05
2,Aalten,1.4,49.2,49.4,33.8,15.6,41.3,11.7,6.6,7,27120,2.1493221283643955e-08,280.7,8.212877792378451e-05
3,Achtkarspelen,0.8,42.6,56.6,40.0,16.6,40.4,11.1,7.9,5,27900,1.492309680523359e-08,273.5,6.01676028745674e-05
4,Alblasserdam,2.0,41.7,56.3,38.8,17.5,55.8,5.9,5.2,7,20136,2.894796191956814e-08,2288.5,1.005072457109251e-05
5,Albrandswaard,1.8,43.9,54.3,40.0,14.4,44.9,5.7,3.5,2,25814,6.451606118633566e-09,1195.4,5.498160865190594e-06
6,Alkmaar,2.3,50.2,47.4,33.2,14.3,40.5,9.3,6.8,91,109896,6.895291999491804e-08,1002.8,0.0002983520475474806
7,Almelo,1.7,42.1,56.3,37.8,18.5,46.0,8.3,6.8,28,73132,3.1881866280830496e-08,1087.4,8.462210788835201e-05
8,Almere,2.2,43.3,54.5,39.6,14.8,54.3,5.5,4.0,91,214715,3.529166614238182e-08,1686.2,0.00017731242683426785
9,Alphen aan den Rijn,1.3,48.3,50.4,36.5,13.9,44.4,6.9,6.3,34,112587,2.5146863544538152e-08,894.4,0.0001249386330831621
10,Alphen-Chaam,1.6,50.4,48.1,37.1,11.0,35.7,10.6,8.9,9,10373,7.224890789152905e-08,112.1,0.0002639853576121645
11,Altena,2.4,42.7,54.8,39.0,15.8,50.4,6.7,4.9,22,56352,3.250921642196329e-08,284.1,0.000254483537228628
12,Ameland,2.8,43.6,53.6,42.9,10.7,36.3,8.8,6.9,15,3746,3.334391891612524e-07,63.5,0.0007821788373693761
13,Amersfoort,1.9,54.3,43.8,31.8,12.0,42.7,5.8,4.2,138,157462,7.297875972553424e-08,2532.5,0.00017904852059213682
14,Amstelveen,2.7,55.1,42.2,31.0,11.2,46.2,6.3,5.3,58,90829,5.317366755161677e-08,2245.6,8.48725010170067e-05
15,Amsterdam,2.7,58.1,39.3,28.1,11.2,40.5,11.2,7.1,1139,873338,1.0860117447915779e-07,4804.8,0.0007788899088691969
16,Apeldoorn,2.0,47.1,51.0,34.2,16.7,47.1,7.6,5.5,157,164781,7.93388084014112e-08,487.2,0.0010590733580315536
17,Arnhem,1.1,54.3,44.6,30.9,13.7,43.4,9.4,7.4,110,162424,5.639435563126371e-08,1676.2,0.00021561254347532926
18,Assen,0.5,46.8,52.7,37.1,15.6,49.1,5.0,4.3,27,68836,3.266188861462741e-08,842.0,0.00010534332560295399
19,Asten,3.2,52.8,43.9,31.7,12.2,36.3,9.9,9.1,1,16817,4.951589473342655e-09,243.2,1.3519140398976874e-05
20,Baarle-Nassau,0.8,46.2,53.1,34.2,18.8,41.3,10.5,6.6,4,6899,4.827997111071369e-08,91.0,0.00014440224689896177
21,Baarn,3.2,52.9,43.9,32.0,11.8,43.4,6.4,6.0,9,24792,3.022902232812322e-08,764.6,3.8699424152568614e-05
