,Regio’s,Ondergewicht (%),Normaal gewicht (%),Overgewicht (%),Matig overgewicht (%),Ernstig overgewicht (obesitas) (%),Alcoholgebruik/Voldoet aan richtlijn alcoholgebruik (%),Alcoholgebruik/Zware drinker (%),Alcoholgebruik/Overmatig drinker (%),n_fastfood,populatie,fastfood_score
0,Aa en Hunze,0.7,50.1,49.2,34.3,14.9,40.6,7.1,5.4,8,25399,1.080487909280193e-08
1,Aalsmeer,1.2,50.3,48.5,36.4,12.1,40.4,6.9,5.0,10,31991,1.0723059769860126e-08
2,Aalten,1.4,49.2,49.4,33.8,15.6,41.3,11.7,6.6,5,27120,6.324509681002863e-09
3,Achtkarspelen,0.8,42.6,56.6,40.0,16.6,40.4,11.1,7.9,3,27900,3.6886172591139277e-09
4,Alblasserdam,2.0,41.7,56.3,38.8,17.5,55.8,5.9,5.2,6,20136,1.0221734359284721e-08
5,Albrandswaard,1.8,43.9,54.3,40.0,14.4,44.9,5.7,3.5,1,25814,1.3288967424560134e-09
6,Alkmaar,2.3,50.2,47.4,33.2,14.3,40.5,9.3,6.8,54,109896,1.685615115679383e-08
7,Almelo,1.7,42.1,56.3,37.8,18.5,46.0,8.3,6.8,12,73132,5.628858586078793e-09
8,Almere,2.2,43.3,54.5,39.6,14.8,54.3,5.5,4.0,77,214715,1.2301976197524548e-08
9,Alphen aan den Rijn,1.3,48.3,50.4,36.5,13.9,44.4,6.9,6.3,21,112587,6.398491395142868e-09
10,Alphen-Chaam,1.6,50.4,48.1,37.1,11.0,35.7,10.6,8.9,5,10373,1.6535303436691184e-08
11,Altena,2.4,42.7,54.8,39.0,15.8,50.4,6.7,4.9,15,56352,9.131212869931731e-09
12,Ameland,2.8,43.6,53.6,42.9,10.7,36.3,8.8,6.9,9,3746,8.241784959632562e-08
13,Amersfoort,1.9,54.3,43.8,31.8,12.0,42.7,5.8,4.2,89,157462,1.9389239977700004e-08
14,Amstelveen,2.7,55.1,42.2,31.0,11.2,46.2,6.3,5.3,52,90829,1.96392705689537e-08
15,Amsterdam,2.7,58.1,39.3,28.1,11.2,40.5,11.2,7.1,553,873338,2.1721475192762734e-08
16,Apeldoorn,2.0,47.1,51.0,34.2,16.7,47.1,7.6,5.5,106,164781,2.2067100539713377e-08
17,Arnhem,1.1,54.3,44.6,30.9,13.7,43.4,9.4,7.4,64,162424,1.3516875539480678e-08
18,Assen,0.5,46.8,52.7,37.1,15.6,49.1,5.0,4.3,18,68836,8.970226758900452e-09
19,Asten,3.2,52.8,43.9,31.7,12.2,36.3,9.9,9.1,0,16817,0.5768927309526259
20,Baarle-Nassau,0.8,46.2,53.1,34.2,18.8,41.3,10.5,6.6,3,6899,1.4917005584762803e-08
21,Baarn,3.2,52.9,43.9,32.0,11.8,43.4,6.4,6.0,6,24792,8.302066919109275e-09
22,Barendrecht,1.3,47.6,51.0,35.6,15.4,49.6,4.7,4.0,7,48643,4.9365578514548174e-09
23,Barneveld,2.7,47.9,49.4,35.5,14.0,47.2,7.5,5.9,22,59992,1.2579862168534298e-08
24,Beek (L.),1.5,43.8,54.7,39.3,15.4,44.8,5.8,5.0,9,15875,1.9448016666950287e-08
25,Beekdaelen,1.4,43.0,55.6,37.9,17.7,43.8,7.1,5.2,10,36065,9.511753919245676e-09
26,Beemster,1.7,53.8,44.5,34.8,9.7,37.9,5.9,4.8,1,10110,3.393090060312515e-09
27,Beesel,2.4,44.6,53.0,34.7,18.3,46.5,7.9,4.8,4,13450,1.0201974872790937e-08
28,Berg en Dal,1.2,46.6,52.2,35.9,16.4,38.8,8.4,5.8,2,35010,1.9596766929311355e-09
29,Bergeijk,2.7,44.0,53.2,37.6,15.6,36.2,10.2,6.7,2,18754,3.6583278777604273e-09
30,Bergen (L.),1.7,43.6,54.7,36.8,17.8,40.0,10.3,6.7,2,13108,5.23407697738168e-09
31,Bergen (NH.),1.8,55.8,42.4,33.4,9.0,36.6,10.4,8.3,2,29715,2.308877032458996e-09
32,Bergen op Zoom,1.2,44.0,54.8,37.2,17.6,44.4,7.0,5.5,25,67514,1.2702602611961788e-08
33,Berkelland,1.2,44.7,54.1,38.0,16.1,35.8,11.9,9.9,9,43846,7.041400916567891e-09
34,Bernheze,2.0,50.0,48.0,36.0,12.0,37.6,11.9,6.7,12,31455,1.3086939631763291e-08
35,Best,1.0,46.6,52.4,36.6,15.8,38.9,8.8,5.8,11,30216,1.2488269314513993e-08
36,Beuningen,1.5,45.4,53.1,38.2,14.8,36.7,7.5,6.2,1,26157,1.311470753899894e-09
37,Beverwijk,2.3,43.9,53.8,37.1,16.7,42.3,6.8,6.7,33,41863,2.7041459924564997e-08
38,De Bilt,1.8,56.3,41.9,31.6,10.3,43.1,6.0,6.8,7,43384,5.5349664292899845e-09
39,Bladel,1.9,47.2,50.9,36.6,14.4,34.8,12.2,7.7,10,20529,1.6710088416269435e-08
40,Blaricum,3.1,57.2,39.7,29.1,10.5,39.2,9.0,8.3,1,11954,2.8696788112564438e-09
41,Bloemendaal,2.3,61.8,35.9,29.2,6.7,31.2,6.6,8.7,4,23478,5.84447406248565e-09
42,Bodegraven-Reeuwijk,1.3,49.4,49.4,35.6,13.7,43.5,6.2,5.4,14,35278,1.3613525912371262e-08
43,Boekel,1.3,49.7,49.0,34.5,14.5,33.7,11.9,5.8,5,10959,1.5651127160215134e-08
44,Borger-Odoorn,2.3,40.7,57.0,38.7,18.4,47.6,5.6,5.6,4,25598,5.360440739082667e-09
45,Borne,1.3,45.6,53.1,39.4,13.7,37.5,8.6,7.7,2,23668,2.8987781400844624e-09
46,Borsele,1.5,44.7,53.9,37.9,16.0,50.2,7.2,6.8,3,22818,4.510142060184003e-09
47,Boxmeer,0.8,51.0,48.2,34.8,13.4,36.9,11.5,7.7,2,29609,2.3171427950798426e-09
48,Boxtel,0.8,49.3,49.9,35.9,14.0,38.6,9.2,6.7,7,32973,7.282594351994562e-09
49,Breda,2.1,51.4,46.5,33.6,12.9,38.7,9.4,6.5,82,184126,1.5277253195096192e-08
50,Brielle,1.0,47.0,51.9,35.7,16.3,41.0,7.5,5.4,6,17439,1.1802559955189927e-08
51,Bronckhorst,0.9,45.9,53.1,38.0,15.1,39.1,8.7,6.8,10,36087,9.505955194324695e-09
52,Brummen,1.4,42.2,56.4,36.9,19.5,43.0,8.3,6.4,8,20884,1.3140831453652376e-08
53,Brunssum,1.9,39.1,59.1,37.7,21.4,49.0,6.1,5.1,6,27670,7.438555947183129e-09
54,Bunnik,1.2,57.5,41.3,31.8,9.5,44.6,5.7,5.6,8,15341,1.7888868005871602e-08
55,Bunschoten,1.0,50.9,48.1,33.3,14.7,37.0,9.2,6.2,8,22019,1.2463469007587822e-08
56,Buren,0.8,44.7,54.5,38.7,15.9,46.6,7.0,5.2,4,27009,5.08040142319368e-09
57,Capelle aan den IJssel,2.0,44.4,53.6,36.3,17.2,51.9,5.1,5.0,21,67319,1.070109405524369e-08
58,Castricum,2.5,56.2,41.3,32.3,9.0,35.8,10.3,8.2,8,36086,7.60497489547404e-09
59,Coevorden,1.4,39.1,59.4,41.2,18.2,38.0,8.9,7.4,4,35317,3.8852836322178585e-09
60,Cranendonck,2.0,49.1,48.9,36.7,12.2,38.2,11.5,9.3,0,21001,0.7204212548454598
61,Cuijk,0.8,48.6,50.6,34.2,16.4,41.0,6.9,5.0,7,25404,9.452408422623077e-09
62,Culemborg,1.8,50.1,48.1,33.6,14.5,47.0,7.2,4.9,6,29121,7.067918102350783e-09
63,Dalfsen,1.6,48.5,49.9,35.5,14.4,38.4,10.0,6.5,8,28901,9.495627282034401e-09
64,Dantumadiel,1.3,41.6,57.2,40.9,16.2,41.9,7.4,5.9,0,18943,0.6498233336763748
65,Delft,1.9,58.5,39.6,28.2,11.3,42.4,9.7,6.7,86,103581,2.848163354127996e-08
66,Deventer,0.9,49.9,49.2,36.0,13.2,41.9,6.9,4.8,25,101236,8.471329494883128e-09
67,Diemen,3.5,54.4,42.1,30.8,11.3,43.9,9.2,5.8,8,31334,8.758317612755353e-09
68,Dinkelland,0.4,47.4,52.2,40.2,12.0,30.7,18.0,12.1,6,26606,7.736031085415213e-09
