,faciliteit,longitude,latitude
0,pub,6.7577981,53.0039289
1,fast_food,6.705794,52.893084
2,fast_food,6.7277668,52.9999278
3,fast_food,6.6658065,53.079495
4,pub,6.6732652,52.9349071
5,bar,6.8336038,53.0250406
6,pub,6.764482,53.0071529
7,fast_food,6.7922679,52.9770829
8,pub,6.7265575,53.0565424
9,fast_food,6.6470253,52.986096
10,fast_food,6.6732095,52.9061439
11,fast_food,6.7566434,52.9769415
12,fast_food,6.8071944,52.9708319
13,pub,4.7655452,52.2663453
14,fast_food,4.7620207,52.2645757
15,fast_food,4.75844,52.2633183
16,fast_food,4.7591052,52.2635333
17,fast_food,4.7879549,52.2783152
18,pub,4.7536435,52.2646066
19,fast_food,4.7583157,52.2632904
20,fast_food,4.7478513,52.2685448
21,fast_food,4.7473931,52.2682406
22,fast_food,4.748484,52.2673646
23,bar,4.7485449,52.2686124
24,fast_food,4.7956209,52.2746588
25,fast_food,4.7814441,52.2782831
26,fast_food,6.4880049,51.8630137
27,fast_food,6.4887006,51.8617688
28,pub,6.5841071,51.9278151
29,pub,6.5806601,51.9262706
30,fast_food,6.5806273,51.9219942
31,fast_food,6.4846724,51.8641075
32,fast_food,6.5860549,51.8953738
33,pub,6.1590472,53.2164258
34,fast_food,6.1435536,53.2529365
35,fast_food,6.0951182,53.2137316
36,fast_food,6.1310401,53.1838375
37,pub,6.1436449,53.2528808
38,bar,4.6636879,51.8686553
39,fast_food,4.6559405,51.8605378
40,fast_food,4.6603552,51.8611843
41,fast_food,4.6588133,51.8650105
42,fast_food,4.6756858,51.8529146
43,fast_food,4.6650967,51.8654286
44,fast_food,4.6463295,51.8701927
45,pub,4.4207388,51.8498307
46,fast_food,4.472564,51.8581666
47,bar,4.8546242,52.5597158
48,pub,4.7511738,52.6302024
49,pub,4.7498289,52.6312483
50,fast_food,4.7423127,52.6338097
51,pub,4.7508852,52.630859
52,fast_food,4.7511436,52.6321117
53,fast_food,4.7457422,52.6309501
54,pub,4.7443182,52.63134
55,fast_food,4.7450818,52.631549
56,fast_food,4.7341925,52.6316562
57,fast_food,4.8338594,52.5393516
58,fast_food,4.7250527,52.6328902
59,bar,4.7249356,52.6329326
60,fast_food,4.7247956,52.6329775
61,fast_food,4.7402963,52.6376481
62,fast_food,4.7401924,52.6372922
63,fast_food,4.74052,52.6373535
64,fast_food,4.7526148,52.6255618
65,fast_food,4.7473003,52.619622
66,fast_food,4.7668243,52.6659235
67,fast_food,4.7562465,52.655269
68,fast_food,4.7569361,52.6545404
69,fast_food,4.7563652,52.6548719
70,fast_food,4.7576562,52.6543853
71,fast_food,4.7574012,52.6550848
72,fast_food,4.7576946,52.6553062
73,fast_food,4.7858611,52.6470976
74,fast_food,4.7738926,52.6338187
75,fast_food,4.7740563,52.6344424
76,pub,4.7742316,52.6358022
77,fast_food,4.7474638,52.6302062
78,pub,4.748159,52.6318346
79,bar,4.7518527,52.6307448
80,pub,4.7505386,52.6299246
81,pub,4.7504407,52.629964
82,pub,4.750308,52.6297402
83,pub,4.7501115,52.6298242
84,pub,4.7499788,52.6298852
85,bar,4.7502818,52.6299136
86,bar,4.750487,52.6298155
87,pub,4.7511715,52.6321788
88,fast_food,4.7527528,52.6259732
89,fast_food,4.7604152,52.6177269
90,fast_food,4.7606458,52.6176265
91,pub,4.7790053,52.5850268
92,fast_food,4.7495496,52.6314146
93,pub,4.7508364,52.6322688
94,pub,4.7442108,52.6335767
95,fast_food,4.7458645,52.6307011
96,pub,4.7501231,52.6308988
97,pub,4.7499612,52.6316558
98,fast_food,4.7457541,52.6341574
99,fast_food,4.7384729,52.6356198
100,fast_food,4.7387037,52.6355223
101,pub,4.7447275,52.6327285
102,fast_food,4.7607477,52.6175993
103,fast_food,4.7485395,52.6308739
104,fast_food,4.7452395,52.6321283
105,fast_food,4.7490905,52.6299586
106,pub,4.7501978,52.6297885
107,pub,4.7499283,52.6299138
108,bar,4.7507101,52.6300104
109,fast_food,4.7509666,52.6301781
110,fast_food,4.7508677,52.6301048
111,fast_food,4.7465364,52.6305149
112,pub,4.7467845,52.6325538
113,bar,4.7503242,52.6377201
114,bar,4.7437348,52.6505153
115,fast_food,4.7155786,52.634437
116,fast_food,4.7493987,52.6314692
117,pub,4.7480976,52.631856
118,fast_food,4.7500693,52.6330282
119,fast_food,4.7486988,52.6317998
120,pub,4.7499981,52.6316969
121,fast_food,4.7466808,52.6324047
122,fast_food,4.7487663,52.6318788
123,pub,4.7468323,52.6323444
124,fast_food,4.7514633,52.6323817
125,fast_food,4.7483633,52.6317636
126,fast_food,4.7492234,52.6314666
127,pub,4.742787,52.6303294
128,pub,4.7531207,52.6322273
129,fast_food,4.7661299,52.6346101
130,fast_food,4.751584,52.6358065
131,fast_food,4.7631564,52.6436748
132,fast_food,4.7587946,52.6160259
133,fast_food,4.744327,52.6507604
134,bar,4.7481691,52.6353334
135,fast_food,4.7608535,52.617621
136,fast_food,4.7600695,52.6459741
137,pub,4.7433027,52.6310138
138,pub,6.6648654,52.354646
139,fast_food,6.6655306,52.3545313
140,bar,6.6656647,52.3582106
141,bar,6.6665621,52.3541298
142,bar,6.666228,52.3544134
143,pub,6.6647448,52.3560777
144,pub,6.6666636,52.3543606
145,pub,6.6664637,52.3543565
146,fast_food,6.6581281,52.3502912
147,fast_food,6.656206,52.357003
148,fast_food,6.6863127,52.3709105
149,fast_food,6.6648149,52.3575905
150,fast_food,6.6645926,52.3577561
151,fast_food,6.643143,52.37081
152,bar,6.6684902,52.3706159
153,fast_food,6.6656609,52.3583298
154,pub,6.6795295,52.3520802
155,pub,6.6790423,52.3522436
156,pub,6.6791629,52.3520065
157,pub,6.6791592,52.3520701
158,pub,6.6789739,52.3521414
159,pub,6.6789995,52.352058
160,pub,6.6790292,52.3519607
161,pub,6.6789104,52.3519486
162,fast_food,6.6768166,52.3506279
163,fast_food,6.6724167,52.3467211
164,fast_food,6.6424937,52.3398425
165,fast_food,6.6473621,52.36049
166,fast_food,5.2189884,52.3686572
167,fast_food,5.2190334,52.3685264
168,fast_food,5.2196206,52.3750322
169,fast_food,5.2197271,52.3748828
170,fast_food,5.2191646,52.3749755
171,fast_food,5.2199029,52.3689774
172,fast_food,5.2198423,52.369895
173,fast_food,5.1352219,52.3413604
174,fast_food,5.3023339,52.4012595
175,fast_food,5.2786281,52.3942272
176,fast_food,5.2816204,52.394831
177,fast_food,5.2804869,52.3943646
178,fast_food,5.2803101,52.3931627
179,fast_food,5.2431244,52.3759891
180,fast_food,5.2428522,52.3750748
181,pub,5.2198218,52.374806
182,pub,5.2179638,52.372583
183,fast_food,5.2183317,52.3713036
184,fast_food,5.2200238,52.371834
185,fast_food,5.2200838,52.3750589
186,fast_food,5.2210379,52.3735379
187,fast_food,5.2214207,52.3728123
188,fast_food,5.2189345,52.3744475
189,pub,5.1909844,52.3672844
190,fast_food,5.1914079,52.3669235
191,fast_food,5.1909862,52.3673738
192,fast_food,5.1504606,52.3467611
193,fast_food,5.150841,52.3466656
194,fast_food,5.1474641,52.3465362
195,fast_food,5.1481823,52.35537
196,fast_food,5.1482616,52.3553929
197,fast_food,5.1494205,52.3467033
198,fast_food,5.2653778,52.3980348
199,fast_food,5.2177163,52.3344861
200,fast_food,5.2180421,52.334453
201,pub,5.2184861,52.3374763
202,pub,5.2184574,52.3374093
203,fast_food,5.2187496,52.3356027
204,fast_food,5.3212292,52.40069
205,fast_food,5.2569686,52.3959049
206,pub,5.2319437,52.3888177
207,fast_food,5.2320416,52.3888416
208,fast_food,5.2583047,52.3959371
209,fast_food,5.1535368,52.346875
210,bar,5.2194395,52.3353152
211,fast_food,5.2191176,52.3683225
212,fast_food,5.2196627,52.3749614
213,bar,5.2181421,52.3720086
214,fast_food,5.2153807,52.3700288
215,bar,5.2175595,52.3714845
216,fast_food,5.2758216,52.3952551
217,fast_food,5.2107617,52.363748
218,fast_food,5.2156739,52.3867178
219,fast_food,5.2110933,52.3552354
